Anno;Quartiere;Zona;Tipologia Famiglia;Dimensione Familiare;Numero Famiglie;Componenti
2022;Savena;San Ruffillo;Sola;1;2987;2987
2022;Senza fissa dimora;Senza fissa dimora;Padre con figli;2;1;2
2023;Borgo Panigale - Reno;Barca;Coniugi con altri membri conviventi;4;12;48
2023;Borgo Panigale - Reno;Barca;Coppia unita civilmente maschile;2;1;2
2023;Borgo Panigale - Reno;Barca;Madre con figli e altri membri conviventi;3;156;468
2023;Borgo Panigale - Reno;Barca;Madre con figli e altri membri conviventi;6-10;10;67
2023;Borgo Panigale - Reno;Borgo Panigale;Coniugi con altri membri conviventi;3;56;168
2023;Borgo Panigale - Reno;Borgo Panigale;Coniugi con figli;5;168;840
2023;Borgo Panigale - Reno;Santa Viola;Altre tipologie familiari;4;5;20
2023;Borgo Panigale - Reno;Santa Viola;Coniugi;2;923;1846
2023;Borgo Panigale - Reno;Santa Viola;Coniugi con altri membri conviventi;5;1;5
2023;Borgo Panigale - Reno;Santa Viola;Coniugi con figli;6-10;17;105
2023;Borgo Panigale - Reno;Santa Viola;Madre con figli;3;100;300
2023;Navile;Bolognina;Coniugi con altri membri conviventi;6-10;4;24
2023;Navile;Corticella;Coniugi con altri membri conviventi;3;43;129
2023;Navile;Corticella;Madre con figli e altri membri conviventi;3;142;426
2023;Navile;Corticella;Madre con figli e altri membri conviventi;6-10;7;44
2023;Navile;Lame;Coniugi con altri membri conviventi;5;3;15
2023;Navile;Lame;Coniugi con figli e altri membri conviventi;5;30;150
2023;Navile;Lame;Madre con figli e altri membri conviventi;4;54;216
2023;Navile;Lame;Madre con figli e altri membri conviventi;5;16;80
2023;Porto - Saragozza;Costa Saragozza;Altre tipologie familiari;3;35;105
2023;Porto - Saragozza;Costa Saragozza;Coniugi con figli;3;989;2967
2023;Porto - Saragozza;Costa Saragozza;Coniugi con figli;5;138;690
2023;Porto - Saragozza;Costa Saragozza;Coniugi con figli e altri membri conviventi;5;40;200
2023;Porto - Saragozza;Costa Saragozza;Coniugi con figli e altri membri conviventi;6-10;26;168
2023;Porto - Saragozza;Costa Saragozza;Coppia unita civilmente femminile;2;3;6
2023;Porto - Saragozza;Costa Saragozza;Madre con figli e altri membri conviventi;6-10;3;18
2023;Porto - Saragozza;Costa Saragozza;Padre con figli e altri membri conviventi;3;157;471
2023;Porto - Saragozza;Costa Saragozza;Solo;1;3176;3176
2023;Porto - Saragozza;Malpighi;Coniugi con figli;5;53;265
2023;Porto - Saragozza;Malpighi;Coppia unita civilmente femminile con figli ed eventuali conviventi;3;2;6
2023;Porto - Saragozza;Malpighi;Madre con figli;3;110;330
2023;Porto - Saragozza;Malpighi;Madre con figli e altri membri conviventi;3;90;270
2023;Porto - Saragozza;Marconi;Coniugi con altri membri conviventi;5;1;5
2023;Porto - Saragozza;Marconi;Coniugi con figli;5;73;365
2023;Porto - Saragozza;Saffi;Coniugi con figli;6-10;16;98
2023;Porto - Saragozza;Saffi;Padre con figli;5;1;5
2023;Porto - Saragozza;Saffi;Solo;1;2869;2869
2023;San Donato - San Vitale;San Donato;Altre tipologie familiari;2;729;1458
2023;San Donato - San Vitale;San Donato;Altre tipologie familiari;3;44;132
2023;San Donato - San Vitale;San Donato;Coniugi con figli;5;245;1225
2023;San Donato - San Vitale;San Donato;Madre con figli;2;1111;2222
2023;San Donato - San Vitale;San Donato;Madre con figli e altri membri conviventi;5;43;215
2023;San Donato - San Vitale;San Donato;Padre con figli;3;49;147
2023;San Donato - San Vitale;San Donato;Padre con figli e altri membri conviventi;3;181;543
2023;San Donato - San Vitale;San Donato;Padre con figli e altri membri conviventi;5;29;145
2023;San Donato - San Vitale;San Vitale;Coniugi con figli e altri membri conviventi;5;69;345
2023;San Donato - San Vitale;San Vitale;Coppia unita civilmente maschile;2;18;36
2023;San Donato - San Vitale;San Vitale;Madre con figli;2;1027;2054
2023;San Donato - San Vitale;San Vitale;Madre con figli;6-10;1;6
2023;Santo Stefano;Colli;Altre tipologie familiari;2;145;290
2023;Santo Stefano;Colli;Altre tipologie familiari;5;2;10
2023;Santo Stefano;Colli;Coniugi con figli;3;329;987
2023;Santo Stefano;Colli;Coppia unita civilmente maschile;2;4;8
2023;Santo Stefano;Colli;Madre con figli;5;3;15
2023;Santo Stefano;Colli;Madre con figli e altri membri conviventi;3;69;207
2023;Santo Stefano;Colli;Padre con figli e altri membri conviventi;3;48;144
2023;Santo Stefano;Galvani;Altre tipologie familiari;5;2;10
2023;Santo Stefano;Galvani;Coniugi con altri membri conviventi;3;21;63
2023;Santo Stefano;Irnerio;Coniugi con altri membri conviventi;3;14;42
2023;Santo Stefano;Irnerio;Coniugi con figli;4;264;1056
2023;Santo Stefano;Irnerio;Madre con figli;2;398;796
2023;Santo Stefano;Irnerio;Madre con figli;5;2;10
2023;Santo Stefano;Irnerio;Padre con figli e altri membri conviventi;3;69;207
2023;Santo Stefano;Murri;Altre tipologie familiari;4;8;32
2023;Santo Stefano;Murri;Coniugi con figli e altri membri conviventi;5;41;205
2023;Santo Stefano;Murri;Padre con figli e altri membri conviventi;3;159;477
2023;Santo Stefano;Murri;Padre con figli e altri membri conviventi;6-10;2;12
2023;Savena;Mazzini;Altre tipologie familiari;3;47;141
2023;Savena;Mazzini;Coppia unita civilmente maschile;2;11;22
2023;Savena;Mazzini;Padre con figli e altri membri conviventi;5;22;110
2023;Savena;San Ruffillo;Altre tipologie familiari;6-10;3;20
2023;Savena;San Ruffillo;Coniugi con figli e altri membri conviventi;6-10;41;267
2023;Savena;San Ruffillo;Padre con figli e altri membri conviventi;5;19;95
2023;Senza fissa dimora;Senza fissa dimora;Solo;1;506;506
2024;Borgo Panigale - Reno;Barca;Altre tipologie familiari;6-10;4;28
2024;Borgo Panigale - Reno;Barca;Coniugi con figli e altri membri conviventi;4;69;276
2024;Borgo Panigale - Reno;Barca;Padre con figli;4;1;4
2024;Borgo Panigale - Reno;Barca;Padre con figli e altri membri conviventi;3;151;453
2024;Borgo Panigale - Reno;Barca;Padre con figli e altri membri conviventi;6-10;7;46
2024;Borgo Panigale - Reno;Borgo Panigale;Madre con figli e altri membri conviventi;6-10;10;65
2024;Borgo Panigale - Reno;Borgo Panigale;Padre con figli;2;192;384
2024;Borgo Panigale - Reno;Borgo Panigale;Padre con figli;5;1;5
2024;Borgo Panigale - Reno;Santa Viola;Altre tipologie familiari;5;4;20
2024;Borgo Panigale - Reno;Santa Viola;Coniugi con altri membri conviventi;6-10;3;21
2024;Borgo Panigale - Reno;Santa Viola;Madre con figli;5;2;10
2024;Borgo Panigale - Reno;Santa Viola;Padre con figli;2;73;146
2024;Borgo Panigale - Reno;Santa Viola;Padre con figli e altri membri conviventi;4;55;220
2024;Navile;Bolognina;Altre tipologie familiari;3;71;213
2024;Navile;Bolognina;Coniugi con altri membri conviventi;3;78;234
2024;Navile;Bolognina;Coniugi con figli;6-10;66;416
2024;Navile;Bolognina;Padre con figli e altri membri conviventi;6-10;18;120
2024;Navile;Corticella;Coniugi;2;1415;2830
2024;Navile;Corticella;Coniugi con figli;4;595;2380
2024;Navile;Corticella;Coppia unita civilmente femminile;2;7;14
2024;Navile;Corticella;Coppia unita civilmente femminile con figli ed eventuali conviventi;3;1;3
2024;Navile;Corticella;Coppia unita civilmente maschile;2;6;12
2024;Navile;Lame;Altre tipologie familiari;6-10;2;17
2024;Navile;Lame;Coniugi con figli e altri membri conviventi;6-10;37;247
2024;Navile;Lame;Madre con figli;3;140;420
2024;Navile;Lame;Solo;1;1629;1629
2024;Porto - Saragozza;Costa Saragozza;Coniugi con figli e altri membri conviventi;6-10;27;179
2024;Porto - Saragozza;Costa Saragozza;Coniugi con figli e altri membri conviventi;Oltre 10;2;24
2024;Porto - Saragozza;Costa Saragozza;Coppia unita civilmente femminile con altri conviventi;3;1;3
2024;Porto - Saragozza;Costa Saragozza;Madre con figli;3;264;792
2024;Porto - Saragozza;Costa Saragozza;Madre con figli;5;7;35
2024;Porto - Saragozza;Costa Saragozza;Padre con figli;3;53;159
2024;Porto - Saragozza;Costa Saragozza;Padre con figli;6-10;1;7
2024;Porto - Saragozza;Malpighi;Coniugi con altri membri conviventi;4;1;4
2024;Porto - Saragozza;Malpighi;Madre con figli;2;363;726
2024;Porto - Saragozza;Malpighi;Madre con figli e altri membri conviventi;5;6;30
2024;Porto - Saragozza;Marconi;Altre tipologie familiari;5;2;10
2024;Porto - Saragozza;Marconi;Coniugi;2;854;1708
2024;Porto - Saragozza;Marconi;Padre con figli;2;96;192
2024;Porto - Saragozza;Saffi;Coniugi con altri membri conviventi;4;5;20
2024;Porto - Saragozza;Saffi;Coniugi con figli;6-10;15;92
2024;Porto - Saragozza;Saffi;Coniugi con figli e altri membri conviventi;6-10;19;122
2024;Porto - Saragozza;Saffi;Madre con figli;5;2;10
2024;Porto - Saragozza;Saffi;Padre con figli;5;1;5
2024;San Donato - San Vitale;San Donato;Coniugi;2;1904;3808
2024;San Donato - San Vitale;San Donato;Solo;1;4568;4568
2024;San Donato - San Vitale;San Vitale;Altre tipologie familiari;5;2;10
2024;San Donato - San Vitale;San Vitale;Coniugi con altri membri conviventi;3;69;207
2024;San Donato - San Vitale;San Vitale;Madre con figli;4;48;192
2024;San Donato - San Vitale;San Vitale;Madre con figli e altri membri conviventi;6-10;6;40
2024;San Donato - San Vitale;San Vitale;Sola;1;5885;5885
2024;Santo Stefano;Colli;Coppia unita civilmente maschile;2;5;10
2024;Santo Stefano;Colli;Madre con figli e altri membri conviventi;3;68;204
2024;Santo Stefano;Colli;Madre con figli e altri membri conviventi;5;6;30
2024;Santo Stefano;Colli;Padre con figli;5;1;5
2024;Santo Stefano;Galvani;Coniugi con figli e altri membri conviventi;6-10;11;69
2024;Santo Stefano;Galvani;Madre con figli;3;154;462
2024;Santo Stefano;Galvani;Madre con figli;5;3;15
2024;Santo Stefano;Galvani;Padre con figli;3;35;105
2024;Santo Stefano;Galvani;Padre con figli;4;4;16
2024;Santo Stefano;Galvani;Sola;1;2675;2675
2024;Santo Stefano;Irnerio;Altre tipologie familiari;2;368;736
2024;Santo Stefano;Irnerio;Coniugi con altri membri conviventi;3;12;36
2024;Santo Stefano;Irnerio;Coniugi con figli e altri membri conviventi;6-10;9;60
2024;Santo Stefano;Irnerio;Padre con figli;2;99;198
2024;Santo Stefano;Irnerio;Padre con figli e altri membri conviventi;4;41;164
2024;Santo Stefano;Murri;Padre con figli e altri membri conviventi;4;111;444
2024;Savena;Mazzini;Coppia unita civilmente maschile;2;11;22
2024;Savena;Mazzini;Madre con figli;4;60;240
2024;Savena;San Ruffillo;Madre con figli e altri membri conviventi;5;21;105
2024;Senza fissa dimora;Senza fissa dimora;Coniugi;2;5;10
2024;Senza fissa dimora;Senza fissa dimora;Padre con figli;2;1;2
2002;Porto - Saragozza;Saffi;Coniugi con figli;4;498;1992
2002;Porto - Saragozza;Saffi;Padre con figli e altri membri conviventi;3;44;132
2002;Porto - Saragozza;Saffi;Padre con figli e altri membri conviventi;6-10;1;6
2002;San Donato - San Vitale;San Donato;Coniugi con figli e altri membri conviventi;5;104;520
2002;San Donato - San Vitale;San Donato;Solo;1;2192;2192
2002;San Donato - San Vitale;San Vitale;Madre con figli;2;1015;2030
2002;Santo Stefano;Colli;Coniugi con figli;4;386;1544
2002;Santo Stefano;Colli;Madre con figli e altri membri conviventi;4;13;52
2002;Santo Stefano;Colli;Padre con figli;4;4;16
2002;Santo Stefano;Galvani;Coniugi con figli;6-10;14;87
2002;Santo Stefano;Galvani;Coniugi con figli e altri membri conviventi;6-10;10;63
2002;Santo Stefano;Galvani;Padre con figli e altri membri conviventi;4;23;92
2002;Santo Stefano;Irnerio;Coniugi con figli e altri membri conviventi;5;28;140
2002;Santo Stefano;Irnerio;Madre con figli;2;436;872
2002;Santo Stefano;Irnerio;Sola;1;2427;2427
2002;Santo Stefano;Murri;Altre tipologie familiari;3;39;117
2002;Santo Stefano;Murri;Coniugi con altri membri conviventi;4;4;16
2002;Santo Stefano;Murri;Coniugi con altri membri conviventi;5;1;5
2002;Santo Stefano;Murri;Coniugi con figli e altri membri conviventi;4;99;396
2002;Savena;Mazzini;Altre tipologie familiari;5;3;15
2002;Savena;Mazzini;Madre con figli;6-10;3;22
2002;Savena;Mazzini;Padre con figli e altri membri conviventi;3;102;306
2002;Savena;San Ruffillo;Altre tipologie familiari;3;28;84
2002;Savena;San Ruffillo;Altre tipologie familiari;5;1;5
2002;Savena;San Ruffillo;Coniugi con figli e altri membri conviventi;4;92;368
2002;Senza fissa dimora;Senza fissa dimora;Madre con figli;4;1;4
2003;Borgo Panigale - Reno;Borgo Panigale;Madre con figli e altri membri conviventi;3;95;285
2003;Borgo Panigale - Reno;Santa Viola;Coniugi con figli;6-10;7;44
2003;Navile;Bolognina;Coniugi con altri membri conviventi;3;124;372
2003;Navile;Bolognina;Madre con figli e altri membri conviventi;6-10;5;35
2003;Navile;Bolognina;Solo;1;3384;3384
2003;Porto - Saragozza;Saffi;Madre con figli;2;564;1128
2003;San Donato - San Vitale;San Donato;Padre con figli e altri membri conviventi;6-10;3;19
2003;Santo Stefano;Colli;Coniugi;2;562;1124
2008;Santo Stefano;Galvani;Coniugi con figli;5;70;350
2008;Santo Stefano;Galvani;Coniugi con figli e altri membri conviventi;5;25;125
2008;Santo Stefano;Galvani;Madre con figli;3;136;408
2008;Santo Stefano;Galvani;Padre con figli e altri membri conviventi;4;28;112
2008;Santo Stefano;Irnerio;Coniugi con figli e altri membri conviventi;5;20;100
2008;Santo Stefano;Murri;Altre tipologie familiari;5;3;15
2008;Santo Stefano;Murri;Coniugi con altri membri conviventi;3;77;231
2008;Savena;Mazzini;Altre tipologie familiari;4;10;40
2008;Savena;Mazzini;Altre tipologie familiari;6-10;1;6
2008;Savena;Mazzini;Coniugi con figli e altri membri conviventi;6-10;31;201
2008;Savena;Mazzini;Padre con figli e altri membri conviventi;3;145;435
2008;Savena;San Ruffillo;Coniugi con figli e altri membri conviventi;6-10;22;147
2008;Senza fissa dimora;Senza fissa dimora;Sola;1;4;4
2009;Borgo Panigale - Reno;Barca;Coniugi con figli;5;82;410
2010;San Donato - San Vitale;San Vitale;Coniugi con figli;4;989;3956
2010;San Donato - San Vitale;San Vitale;Coniugi con figli;5;176;880
2010;Santo Stefano;Colli;Altre tipologie familiari;3;10;30
2010;Santo Stefano;Colli;Solo;1;729;729
2010;Santo Stefano;Galvani;Sola;1;2519;2519
2010;Santo Stefano;Galvani;Solo;1;1967;1967
2010;Santo Stefano;Irnerio;Altre tipologie familiari;5;2;10
2010;Santo Stefano;Irnerio;Coniugi con figli;6-10;8;52
2010;Santo Stefano;Irnerio;Padre con figli e altri membri conviventi;3;62;186
2010;Santo Stefano;Murri;Coniugi con figli;6-10;25;154
2010;Santo Stefano;Murri;Madre con figli;3;327;981
2010;Santo Stefano;Murri;Padre con figli e altri membri conviventi;6-10;2;13
2011;Borgo Panigale - Reno;Barca;Coniugi con figli;6-10;27;170
2011;Borgo Panigale - Reno;Barca;Padre con figli;3;35;105
2011;Borgo Panigale - Reno;Barca;Padre con figli e altri membri conviventi;5;8;40
2011;Borgo Panigale - Reno;Borgo Panigale;Altre tipologie familiari;3;25;75
2011;Borgo Panigale - Reno;Borgo Panigale;Madre con figli e altri membri conviventi;6-10;6;39
2011;Borgo Panigale - Reno;Santa Viola;Coniugi con figli;3;715;2145
2011;Borgo Panigale - Reno;Santa Viola;Madre con figli e altri membri conviventi;6-10;1;6
2011;Navile;Bolognina;Altre tipologie familiari;5;4;20
2011;Navile;Lame;Madre con figli e altri membri conviventi;4;41;164
2011;Porto - Saragozza;Malpighi;Coniugi con figli;5;58;290
2011;Porto - Saragozza;Malpighi;Madre con figli e altri membri conviventi;6-10;3;20
2011;Porto - Saragozza;Marconi;Padre con figli e altri membri conviventi;4;19;76
2011;Porto - Saragozza;Marconi;Padre con figli e altri membri conviventi;5;6;30
2011;Porto - Saragozza;Saffi;Padre con figli;2;108;216
2011;San Donato - San Vitale;San Donato;Coniugi con altri membri conviventi;5;2;10
2011;San Donato - San Vitale;San Donato;Coniugi con figli;5;172;860
2011;San Donato - San Vitale;San Donato;Madre con figli;6-10;3;18
2011;San Donato - San Vitale;San Vitale;Madre con figli;6-10;1;6
2011;Santo Stefano;Colli;Coniugi con altri membri conviventi;6-10;1;7
2011;Santo Stefano;Galvani;Madre con figli;4;26;104
2011;Santo Stefano;Murri;Madre con figli e altri membri conviventi;4;66;264
2011;Savena;Mazzini;Altre tipologie familiari;4;20;80
2011;Savena;Mazzini;Coniugi con figli;3;1962;5886
2012;Borgo Panigale - Reno;Santa Viola;Coniugi con altri membri conviventi;6-10;1;6
2012;Navile;Bolognina;Altre tipologie familiari;6-10;2;12
2012;Navile;Bolognina;Coniugi con altri membri conviventi;3;92;276
2012;Navile;Bolognina;Coniugi con figli;4;995;3980
2012;Navile;Bolognina;Coniugi con figli;6-10;44;278
2012;Navile;Bolognina;Coniugi con figli e altri membri conviventi;Oltre 10;1;12
2012;Navile;Bolognina;Padre con figli;6-10;1;6
2012;Navile;Corticella;Altre tipologie familiari;5;2;10
2012;Navile;Corticella;Coniugi con figli;5;94;470
2012;Navile;Corticella;Coniugi con figli e altri membri conviventi;6-10;26;178
2012;Navile;Corticella;Padre con figli e altri membri conviventi;4;51;204
2012;Navile;Lame;Altre tipologie familiari;4;4;16
2012;Navile;Lame;Altre tipologie familiari;6-10;1;6
2012;Navile;Lame;Coniugi con figli;4;455;1820
2012;Navile;Lame;Solo;1;1358;1358
2012;Porto - Saragozza;Costa Saragozza;Coniugi con figli e altri membri conviventi;5;36;180
2012;Porto - Saragozza;Costa Saragozza;Madre con figli e altri membri conviventi;5;18;90
2012;Porto - Saragozza;Malpighi;Sola;1;2564;2564
2012;Porto - Saragozza;Saffi;Coniugi con figli;4;483;1932
2012;San Donato - San Vitale;San Vitale;Madre con figli e altri membri conviventi;3;145;435
2012;Santo Stefano;Colli;Coniugi con altri membri conviventi;5;1;5
2012;Santo Stefano;Colli;Coniugi con figli;5;100;500
2012;Santo Stefano;Colli;Madre con figli;5;5;25
2012;Santo Stefano;Galvani;Coniugi con figli e altri membri conviventi;6-10;10;64
2012;Santo Stefano;Galvani;Padre con figli;3;27;81
2012;Santo Stefano;Galvani;Padre con figli;5;1;5
2012;Savena;Mazzini;Coniugi con figli;4;1153;4612
2012;Savena;San Ruffillo;Altre tipologie familiari;3;40;120
2012;Savena;San Ruffillo;Madre con figli;5;2;10
2012;Savena;San Ruffillo;Padre con figli;3;38;114
2012;Savena;San Ruffillo;Padre con figli e altri membri conviventi;4;30;120
2012;Savena;San Ruffillo;Padre con figli e altri membri conviventi;6-10;4;25
2013;Borgo Panigale - Reno;Barca;Altre tipologie familiari;5;2;10
2013;Borgo Panigale - Reno;Barca;Coniugi con figli;3;993;2979
2013;Borgo Panigale - Reno;Barca;Padre con figli;4;1;4
2013;Borgo Panigale - Reno;Barca;Sola;1;2687;2687
2013;Borgo Panigale - Reno;Borgo Panigale;Madre con figli;2;726;1452
2013;Borgo Panigale - Reno;Borgo Panigale;Madre con figli e altri membri conviventi;5;15;75
2013;Borgo Panigale - Reno;Santa Viola;Coniugi con altri membri conviventi;6-10;1;6
2013;Borgo Panigale - Reno;Santa Viola;Padre con figli e altri membri conviventi;5;6;30
2013;Porto - Saragozza;Malpighi;Madre con figli;3;93;279
2013;Porto - Saragozza;Malpighi;Madre con figli e altri membri conviventi;6-10;2;12
2013;Porto - Saragozza;Malpighi;Sola;1;2536;2536
2013;Porto - Saragozza;Marconi;Padre con figli;2;109;218
2013;Porto - Saragozza;Marconi;Padre con figli e altri membri conviventi;5;4;20
2013;Porto - Saragozza;Saffi;Coniugi con figli;5;82;410
2013;Porto - Saragozza;Saffi;Madre con figli;4;20;80
2013;Porto - Saragozza;Saffi;Sola;1;3060;3060
2013;San Donato - San Vitale;San Donato;Coniugi con figli;5;187;935
2013;San Donato - San Vitale;San Donato;Madre con figli e altri membri conviventi;5;35;175
2013;San Donato - San Vitale;San Donato;Madre con figli e altri membri conviventi;6-10;20;138
2013;San Donato - San Vitale;San Donato;Padre con figli;2;218;436
2013;San Donato - San Vitale;San Donato;Padre con figli;3;51;153
2013;San Donato - San Vitale;San Vitale;Altre tipologie familiari;3;42;126
2013;San Donato - San Vitale;San Vitale;Altre tipologie familiari;5;3;15
2013;San Donato - San Vitale;San Vitale;Coniugi con figli e altri membri conviventi;4;79;316
2013;San Donato - San Vitale;San Vitale;Madre con figli;4;47;188
2013;San Donato - San Vitale;San Vitale;Madre con figli e altri membri conviventi;3;161;483
2013;San Donato - San Vitale;San Vitale;Madre con figli e altri membri conviventi;6-10;5;32
2013;Santo Stefano;Colli;Altre tipologie familiari;3;12;36
2013;Santo Stefano;Colli;Coniugi con altri membri conviventi;6-10;1;7
2013;Santo Stefano;Colli;Coniugi con figli;6-10;20;123
2013;Santo Stefano;Colli;Padre con figli;2;54;108
2013;Santo Stefano;Colli;Padre con figli;5;3;15
2013;Santo Stefano;Colli;Padre con figli e altri membri conviventi;5;5;25
2013;Santo Stefano;Galvani;Madre con figli;2;467;934
2013;Santo Stefano;Galvani;Madre con figli;3;135;405
2013;Santo Stefano;Galvani;Madre con figli e altri membri conviventi;3;78;234
2013;Santo Stefano;Galvani;Padre con figli;5;1;5
2013;Santo Stefano;Irnerio;Altre tipologie familiari;2;303;606
2013;Santo Stefano;Irnerio;Altre tipologie familiari;6-10;1;6
2013;Santo Stefano;Irnerio;Coniugi con figli;4;291;1164
2013;Santo Stefano;Irnerio;Madre con figli e altri membri conviventi;5;6;30
2013;Santo Stefano;Irnerio;Madre con figli e altri membri conviventi;6-10;1;6
2013;Santo Stefano;Irnerio;Padre con figli;2;83;166
2013;Santo Stefano;Irnerio;Padre con figli e altri membri conviventi;3;69;207
2013;Santo Stefano;Irnerio;Padre con figli e altri membri conviventi;4;21;84
2013;Santo Stefano;Irnerio;Solo;1;2605;2605
2013;Santo Stefano;Murri;Madre con figli e altri membri conviventi;4;79;316
2013;Santo Stefano;Murri;Madre con figli e altri membri conviventi;5;17;85
2013;Santo Stefano;Murri;Padre con figli e altri membri conviventi;5;14;70
2013;Savena;Mazzini;Coniugi con altri membri conviventi;3;136;408
2013;Savena;Mazzini;Coniugi con figli e altri membri conviventi;4;101;404
2013;Savena;Mazzini;Madre con figli e altri membri conviventi;5;18;90
2013;Savena;Mazzini;Madre con figli e altri membri conviventi;6-10;8;51
2013;Savena;San Ruffillo;Coniugi con altri membri conviventi;5;3;15
2013;Savena;San Ruffillo;Padre con figli;4;3;12
2013;Savena;San Ruffillo;Padre con figli e altri membri conviventi;5;13;65
2013;Savena;San Ruffillo;Padre con figli e altri membri conviventi;6-10;1;6
2014;Borgo Panigale - Reno;Barca;Coniugi con figli;4;696;2784
2014;Borgo Panigale - Reno;Barca;Madre con figli;2;722;1444
2014;Borgo Panigale - Reno;Santa Viola;Coniugi con figli;3;683;2049
2014;Navile;Bolognina;Altre tipologie familiari;6-10;5;30
2014;Navile;Bolognina;Coniugi;2;2474;4948
2014;Navile;Bolognina;Coniugi con figli;6-10;45;286
2014;Navile;Bolognina;Coniugi con figli e altri membri conviventi;4;79;316
2014;Navile;Bolognina;Coniugi con figli e altri membri conviventi;5;92;460
2014;Navile;Bolognina;Madre con figli e altri membri conviventi;5;28;140
2014;Navile;Bolognina;Padre con figli e altri membri conviventi;4;91;364
2014;Navile;Bolognina;Padre con figli e altri membri conviventi;5;15;75
2014;Navile;Corticella;Coniugi con figli e altri membri conviventi;5;40;200
2014;Navile;Corticella;Madre con figli;2;513;1026
2014;Navile;Corticella;Madre con figli;6-10;1;6
2014;Navile;Corticella;Padre con figli;4;3;12
2014;Navile;Corticella;Solo;1;1741;1741
2014;Navile;Lame;Madre con figli;5;5;25
2014;Navile;Lame;Padre con figli e altri membri conviventi;4;39;156
2014;Porto - Saragozza;Costa Saragozza;Coniugi con figli e altri membri conviventi;5;34;170
2014;Porto - Saragozza;Costa Saragozza;Madre con figli e altri membri conviventi;3;142;426
2014;Porto - Saragozza;Costa Saragozza;Padre con figli;4;7;28
2014;Porto - Saragozza;Malpighi;Coniugi con figli;6-10;10;63
2014;Porto - Saragozza;Malpighi;Padre con figli;4;4;16
2014;Porto - Saragozza;Marconi;Coniugi con figli;3;561;1683
2014;Porto - Saragozza;Marconi;Coniugi con figli;5;66;330
2014;Porto - Saragozza;Marconi;Madre con figli e altri membri conviventi;6-10;4;26
2014;Porto - Saragozza;Marconi;Padre con figli;2;106;212
2014;Porto - Saragozza;Saffi;Coniugi;2;1369;2738
2014;Porto - Saragozza;Saffi;Madre con figli e altri membri conviventi;5;10;50
2014;Porto - Saragozza;Saffi;Padre con figli e altri membri conviventi;6-10;1;6
2014;San Donato - San Vitale;San Donato;Altre tipologie familiari;6-10;3;19
2014;San Donato - San Vitale;San Donato;Madre con figli;5;10;50
2014;San Donato - San Vitale;San Donato;Madre con figli e altri membri conviventi;4;103;412
2014;San Donato - San Vitale;San Donato;Padre con figli;2;218;436
2014;San Donato - San Vitale;San Donato;Padre con figli e altri membri conviventi;5;17;85
2014;San Donato - San Vitale;San Vitale;Altre tipologie familiari;2;599;1198
2014;San Donato - San Vitale;San Vitale;Altre tipologie familiari;6-10;2;13
2014;San Donato - San Vitale;San Vitale;Coniugi con altri membri conviventi;6-10;3;23
2014;Santo Stefano;Colli;Altre tipologie familiari;2;103;206
2014;Santo Stefano;Colli;Altre tipologie familiari;5;1;5
2014;Santo Stefano;Colli;Coniugi con figli;4;334;1336
2014;Santo Stefano;Colli;Coniugi con figli e altri membri conviventi;4;21;84
2014;Santo Stefano;Colli;Padre con figli e altri membri conviventi;5;6;30
2014;Santo Stefano;Colli;Sola;1;1074;1074
2014;Santo Stefano;Irnerio;Coniugi;2;774;1548
2014;Santo Stefano;Irnerio;Madre con figli e altri membri conviventi;6-10;3;19
2014;Santo Stefano;Irnerio;Padre con figli;4;3;12
2014;Santo Stefano;Irnerio;Sola;1;2922;2922
2014;Santo Stefano;Murri;Coniugi con altri membri conviventi;5;6;30
2014;Santo Stefano;Murri;Coniugi con altri membri conviventi;6-10;4;25
2014;Santo Stefano;Murri;Coniugi con figli;3;1302;3906
2014;Santo Stefano;Murri;Padre con figli;3;68;204
2014;Savena;Mazzini;Altre tipologie familiari;2;592;1184
2014;Savena;Mazzini;Coniugi con altri membri conviventi;4;16;64
2014;Savena;Mazzini;Coniugi con figli;3;1872;5616
2014;Savena;Mazzini;Coniugi con figli e altri membri conviventi;6-10;64;430
2014;Savena;Mazzini;Madre con figli e altri membri conviventi;3;204;612
2014;Savena;Mazzini;Padre con figli e altri membri conviventi;4;87;348
2014;Savena;San Ruffillo;Coniugi con figli e altri membri conviventi;4;47;188
2014;Savena;San Ruffillo;Coniugi con figli e altri membri conviventi;Oltre 10;1;11
2014;Savena;San Ruffillo;Padre con figli e altri membri conviventi;5;10;50
2015;Borgo Panigale - Reno;Barca;Altre tipologie familiari;4;12;48
2015;Borgo Panigale - Reno;Barca;Coniugi con altri membri conviventi;3;63;189
2015;Borgo Panigale - Reno;Barca;Madre con figli;2;726;1452
2015;Borgo Panigale - Reno;Barca;Madre con figli;6-10;2;12
2015;Borgo Panigale - Reno;Barca;Padre con figli;2;137;274
2015;Borgo Panigale - Reno;Borgo Panigale;Altre tipologie familiari;3;37;111
2015;Borgo Panigale - Reno;Borgo Panigale;Coniugi con altri membri conviventi;4;6;24
2015;Borgo Panigale - Reno;Borgo Panigale;Madre con figli;5;3;15
2015;Borgo Panigale - Reno;Santa Viola;Altre tipologie familiari;2;226;452
2015;Borgo Panigale - Reno;Santa Viola;Coniugi con figli;4;438;1752
2015;Borgo Panigale - Reno;Santa Viola;Madre con figli e altri membri conviventi;3;80;240
