Sezione censimento (2011);Anno di riferimento;Nome quartiere;Nome zona;Nome area;Numero unità locali;Numero addetti (dipendenti e indipendenti);Numero addetti istituzioni pubbliche;Numero studenti
1735;2018;San Donato - San Vitale;S. Vitale;ROVERI;3;5;;
1739;2018;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;9;18;;
1740;2018;San Donato - San Vitale;S. Vitale;ROVERI;30;213;;
1744;2018;San Donato - San Vitale;S. Vitale;GUELFA;28;38;;
1747;2018;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;32;50;;
1777;2018;San Donato - San Vitale;S. Vitale;GUELFA;24;40;;
1782;2018;Porto - Saragozza;Costa Saragozza;STADIO-MELONCELLO;4;19;;
1799;2018;Porto - Saragozza;Costa Saragozza;XXI APRILE;16;21;;
1801;2018;Porto - Saragozza;Costa Saragozza;XXI APRILE;4;12;;
1804;2018;Porto - Saragozza;Costa Saragozza;XXI APRILE;36;63;;
1808;2018;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;1;1;;
1817;2018;Porto - Saragozza;Costa Saragozza;STADIO-MELONCELLO;5;7;;
1844;2018;Porto - Saragozza;Costa Saragozza;XXI APRILE;6;6;;
1880;2018;Porto - Saragozza;Costa Saragozza;STADIO-MELONCELLO;66;90;;
1888;2018;Porto - Saragozza;Costa Saragozza;RAVONE;1;2;;
1889;2018;Porto - Saragozza;Costa Saragozza;RAVONE;4;4;;
1890;2018;Porto - Saragozza;Costa Saragozza;RAVONE;11;10;;
1901;2018;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;6;8;;
1910;2018;Porto - Saragozza;Costa Saragozza;VIA DEL GENIO;1;1;;
1917;2018;Porto - Saragozza;Costa Saragozza;SAN LUCA;6;6;;
1926;2018;Porto - Saragozza;Costa Saragozza;SAN LUCA;5;5;;
1949;2018;Porto - Saragozza;Malpighi;MALPIGHI-1;109;429;;
1951;2018;Porto - Saragozza;Malpighi;MALPIGHI-1;90;213;;
1962;2018;Porto - Saragozza;Malpighi;MALPIGHI-1;141;508;;
1979;2018;Porto - Saragozza;Malpighi;MALPIGHI-2;18;39;;
1985;2018;Porto - Saragozza;Malpighi;MALPIGHI-2;35;47;;
1996;2018;Porto - Saragozza;Malpighi;MALPIGHI-2;2;10;;
2000;2018;Porto - Saragozza;Malpighi;MALPIGHI-2;49;98;;
2003;2018;Savena;Mazzini;FOSSOLO;6;21;;
2008;2018;Savena;Mazzini;FOSSOLO;56;60;;
2012;2018;Savena;Mazzini;FOSSOLO;24;33;;
2016;2018;Savena;Mazzini;FOSSOLO;7;7;;
2027;2018;Savena;Mazzini;PONTEVECCHIO;15;24;;
2051;2018;Savena;Mazzini;LUNGO SAVENA;4;4;;
2058;2018;Savena;Mazzini;PONTEVECCHIO;10;17;;
2064;2018;Savena;Mazzini;PONTEVECCHIO;17;33;;
2074;2018;Savena;Mazzini;BITONE;3;3;;
2080;2018;Savena;Mazzini;BITONE;23;35;;
2094;2018;Savena;Mazzini;BITONE;7;8;;
2095;2018;Savena;Mazzini;BITONE;11;20;;
2118;2018;Savena;Mazzini;BITONE;21;53;;
2127;2018;Savena;Mazzini;VIA ARNO;13;12;;
2134;2018;Savena;Mazzini;VIA ARNO;45;89;;
2141;2018;Savena;Mazzini;CAVEDONE;2;49;;
2171;2018;Savena;S. Ruffillo;VIA TOSCANA;23;33;;
2197;2018;Savena;S. Ruffillo;MONTE DONATO;26;41;;
2199;2018;Savena;S. Ruffillo;VIA TOSCANA;11;12;;
2210;2018;Savena;S. Ruffillo;VIA TOSCANA;16;18;;
2215;2018;Savena;S. Ruffillo;VIA TOSCANA;6;10;;
2222;2018;Savena;S. Ruffillo;VIA TOSCANA;24;28;;
2242;2018;Savena;S. Ruffillo;CORELLI;5;5;;
2252;2018;Savena;S. Ruffillo;CORELLI;17;16;;
2261;2018;Savena;S. Ruffillo;CORELLI;7;10;;
2283;2018;Savena;S. Ruffillo;CORELLI;1;1;;
2293;2018;Savena;S. Ruffillo;MONTE DONATO;6;5;;
2296;2018;Savena;S. Ruffillo;VIA TOSCANA;8;13;;
2298;2018;Savena;S. Ruffillo;VIA TOSCANA;10;17;;
2304;2018;Savena;S. Ruffillo;CORELLI;1;1;;
2306;2018;Savena;S. Ruffillo;VIA TOSCANA;5;6;;
2312;2018;Savena;S. Ruffillo;PONTE SAVENA-LA BASTIA;11;17;;
2333;2018;Savena;Mazzini;FOSSOLO;26;53;;
22;2017;Borgo Panigale - Reno;Borgo Panigale;BARGELLINO;22;236;;
29;2017;Borgo Panigale - Reno;Borgo Panigale;AEROPORTO;39;1325;48;
39;2017;Borgo Panigale - Reno;Borgo Panigale;AEROPORTO;10;18;;
50;2017;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;12;76;;
74;2017;Borgo Panigale - Reno;Borgo Panigale;DUCATI-VILLAGGIO INA;3;6;;
82;2017;Borgo Panigale - Reno;Borgo Panigale;DUCATI-VILLAGGIO INA;11;21;;
90;2017;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;5;6;;
91;2017;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;1;2;;
103;2017;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;16;23;;
115;2017;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;13;36;;
120;2017;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;10;224;;
143;2017;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;50;428;;
146;2017;Borgo Panigale - Reno;Borgo Panigale;TRIUMVIRATO-PIETRA;27;64;;
169;2017;Borgo Panigale - Reno;Borgo Panigale;CASTELDEBOLE;21;22;;
173;2017;Borgo Panigale - Reno;Borgo Panigale;CASTELDEBOLE;9;10;;
176;2017;Borgo Panigale - Reno;Borgo Panigale;CASTELDEBOLE;17;17;;
183;2017;Borgo Panigale - Reno;Borgo Panigale;CASTELDEBOLE;12;14;;
189;2017;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;3;3;;
230;2017;Navile;Bolognina;ARCOVEGGIO;27;59;49;
231;2017;Navile;Bolognina;ARCOVEGGIO;21;267;;
234;2017;Navile;Bolognina;ARCOVEGGIO;8;13;;
235;2017;Navile;Bolognina;ARCOVEGGIO;5;7;;
238;2017;Navile;Bolognina;ARCOVEGGIO;9;10;;
254;2017;Navile;Bolognina;ARCOVEGGIO;21;23;;
263;2017;Navile;Bolognina;ARCOVEGGIO;25;61;;
314;2017;Navile;Bolognina;VIA FERRARESE;5;7;;
323;2017;Navile;Bolognina;VIA FERRARESE;45;134;;
336;2017;Navile;Bolognina;VIA FERRARESE;12;19;;
344;2017;Navile;Bolognina;PIAZZA DELL'UNITA';2;3;;
411;2017;Navile;Corticella;SAN SAVINO;15;23;;
416;2017;Navile;Corticella;SAN SAVINO;4;7;;
428;2017;Navile;Corticella;SAVENA ABBANDONATO;5;5;;
449;2017;Navile;Corticella;CROCE COPERTA;76;454;;
488;2017;Navile;Corticella;SAVENA ABBANDONATO;1;29;;
492;2017;Navile;Lame;LAGHETTI DEL ROSARIO;1;14;;
496;2017;Navile;Lame;LAGHETTI DEL ROSARIO;3;13;;
503;2017;Navile;Lame;LA NOCE;42;156;1;
525;2017;Navile;Lame;TIRO A SEGNO;2;2;;
542;2017;Navile;Lame;TIRO A SEGNO;2;2;11;
572;2017;Navile;Lame;BEVERARA;11;13;;
592;2017;Navile;Lame;BEVERARA;34;350;6;
643;2017;Porto - Saragozza;Marconi;MARCONI-2;28;40;;
650;2017;Porto - Saragozza;Marconi;MARCONI-2;111;499;270;
663;2017;Porto - Saragozza;Marconi;MARCONI-2;29;59;;
667;2017;Porto - Saragozza;Marconi;MARCONI-2;111;286;1;
681;2017;Porto - Saragozza;Marconi;MARCONI-1;92;209;;
690;2017;Porto - Saragozza;Marconi;MARCONI-1;34;87;;
699;2017;Porto - Saragozza;Marconi;MARCONI-1;21;297;;
719;2017;Porto - Saragozza;Saffi;ZANARDI;44;114;10;
724;2017;Porto - Saragozza;Saffi;ZANARDI;29;71;;
729;2017;Porto - Saragozza;Saffi;ZANARDI;19;28;;
765;2017;Porto - Saragozza;Saffi;VIA VITTORIO VENETO;22;23;;
768;2017;Porto - Saragozza;Saffi;VIA VITTORIO VENETO;7;12;;
786;2017;Borgo Panigale - Reno;Barca;BATTINDARNO;14;16;18;
794;2017;Borgo Panigale - Reno;Barca;BATTINDARNO;5;4;;
832;2017;Borgo Panigale - Reno;Barca;VILLAGGIO DELLA BARCA;1;1;;
853;2017;Borgo Panigale - Reno;Barca;BATTINDARNO;21;46;;
868;2017;Borgo Panigale - Reno;Barca;CANALE DI RENO;29;54;;
908;2017;Borgo Panigale - Reno;S. Viola;EMILIA PONENTE;69;124;;
909;2017;Borgo Panigale - Reno;S. Viola;EMILIA PONENTE;19;64;;
910;2017;Borgo Panigale - Reno;S. Viola;EMILIA PONENTE;40;99;;
927;2017;Borgo Panigale - Reno;S. Viola;EMILIA PONENTE;14;14;;
928;2017;Borgo Panigale - Reno;S. Viola;EMILIA PONENTE;31;35;;
933;2017;San Donato - San Vitale;San Donato;CADRIANO-CALAMOSCO;1;1;;
982;2017;San Donato - San Vitale;San Donato;VIA DEL LAVORO;17;43;;
1008;2017;San Donato - San Vitale;San Donato;VIA DEL LAVORO;5;16;;
1011;2017;San Donato - San Vitale;San Donato;MICHELINO;27;210;;
1022;2017;San Donato - San Vitale;San Donato;MICHELINO;4;5;;
1024;2017;San Donato - San Vitale;San Donato;MICHELINO;65;119;100;
1036;2017;San Donato - San Vitale;San Donato;MICHELINO;12;14;;
1042;2017;San Donato - San Vitale;San Donato;VIA MONDO;20;43;;
1163;2017;Santo Stefano;Colli;SAN MICHELE IN BOSCO;15;52;;
1200;2017;Santo Stefano;Colli;PADERNO;6;6;;
1204;2017;Santo Stefano;Colli;PADERNO;2;11;;
1262;2017;Santo Stefano;Galvani;GALVANI-2;29;48;;
1270;2017;Santo Stefano;Galvani;GALVANI-2;96;134;;
1299;2017;Santo Stefano;Galvani;GALVANI-2;2;1;;
1468;2017;Santo Stefano;Irnerio;IRNERIO-2;58;480;1;
1472;2017;Santo Stefano;Irnerio;IRNERIO-2;2;579;199;
1490;2017;Santo Stefano;Irnerio;IRNERIO-1;23;45;;
1500;2017;Santo Stefano;Irnerio;IRNERIO-2;1;2;230;
1526;2017;Santo Stefano;Irnerio;IRNERIO-1;57;123;164;
1527;2017;Santo Stefano;Irnerio;IRNERIO-1;89;211;270;
1543;2017;Santo Stefano;Irnerio;IRNERIO-1;10;28;;
1548;2017;Santo Stefano;Irnerio;IRNERIO-2;40;77;;
1565;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;10;30;;
1657;2017;San Donato - San Vitale;S. Vitale;MENGOLI;27;41;;
1662;2017;San Donato - San Vitale;S. Vitale;MENGOLI;14;147;;
1695;2017;San Donato - San Vitale;S. Vitale;ROVERI;9;208;;
1704;2017;San Donato - San Vitale;S. Vitale;ROVERI;16;159;;
1729;2017;San Donato - San Vitale;S. Vitale;GUELFA;12;14;;
1741;2017;San Donato - San Vitale;S. Vitale;ROVERI;65;739;;
1747;2017;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;33;71;;
1778;2017;San Donato - San Vitale;S. Vitale;GUELFA;1;1;;
1782;2017;Porto - Saragozza;Costa Saragozza;STADIO-MELONCELLO;5;14;;
1790;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;5;6;;
1793;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;53;102;;
1800;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;23;31;;
1808;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;1;1;;
1809;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;13;19;;
1849;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;39;60;;
1887;2017;Porto - Saragozza;Costa Saragozza;RAVONE;14;25;8;
1896;2017;Porto - Saragozza;Costa Saragozza;RAVONE;6;16;;
1990;2017;Porto - Saragozza;Malpighi;MALPIGHI-2;13;20;;
1992;2017;Porto - Saragozza;Malpighi;MALPIGHI-2;64;131;;
2034;2017;Savena;Mazzini;FOSSOLO;7;9;17;
2040;2017;Savena;Mazzini;DUE MADONNE;14;15;;
2058;2017;Savena;Mazzini;PONTEVECCHIO;12;18;;
2062;2017;Savena;Mazzini;PONTEVECCHIO;3;3;;
2068;2017;Savena;Mazzini;PONTEVECCHIO;19;24;;
2074;2017;Savena;Mazzini;BITONE;3;3;;
2077;2017;Savena;Mazzini;BITONE;3;4;;
2140;2017;Savena;Mazzini;CAVEDONE;2;6;;
2141;2017;Savena;Mazzini;CAVEDONE;2;7;;
2209;2017;Savena;S. Ruffillo;VIA TOSCANA;15;30;;
2233;2017;Savena;S. Ruffillo;VIA TOSCANA;6;8;;
2243;2017;Savena;S. Ruffillo;VIA TOSCANA;8;11;;
2247;2017;Savena;S. Ruffillo;VIA TOSCANA;8;19;;
2254;2017;Savena;S. Ruffillo;CORELLI;31;86;;
2272;2017;Savena;S. Ruffillo;CORELLI;4;7;;
2290;2017;Savena;S. Ruffillo;MONTE DONATO;2;4;;
2295;2017;Savena;S. Ruffillo;VIA TOSCANA;13;40;;
1111;2018;San Donato - San Vitale;San Donato;SCALO MERCI SAN DONATO;5;3;;
1127;2018;San Donato - San Vitale;San Donato;CAAB;1;1;;
1128;2018;San Donato - San Vitale;San Donato;CAAB;5;93;;
1156;2018;Santo Stefano;Colli;OSSERVANZA;29;82;;
1179;2018;Santo Stefano;Colli;PADERNO;3;3;;
1186;2018;Santo Stefano;Colli;PADERNO;1;13;;
1192;2018;Santo Stefano;Colli;PADERNO;5;9;;
1198;2018;Santo Stefano;Colli;PADERNO;1;1;;
1203;2018;Santo Stefano;Colli;PADERNO;7;15;;
1215;2018;Santo Stefano;Galvani;GALVANI-1;25;175;;
1218;2018;Santo Stefano;Galvani;GALVANI-1;71;290;;
1234;2018;Santo Stefano;Galvani;GALVANI-2;60;104;;
1235;2018;Santo Stefano;Galvani;GALVANI-2;66;132;;
1253;2018;Santo Stefano;Galvani;GALVANI-2;2;65;;
1299;2018;Santo Stefano;Galvani;GALVANI-2;2;1;;
1360;2018;Santo Stefano;Murri;MEZZOFANTI;12;13;;
1411;2018;Santo Stefano;Murri;CHIESANUOVA;3;3;;
1431;2018;Santo Stefano;Murri;CHIESANUOVA;6;6;;
1581;2018;San Donato - San Vitale;S. Vitale;CIRENAICA;4;7;;
1587;2018;San Donato - San Vitale;S. Vitale;CIRENAICA;16;27;;
1630;2018;San Donato - San Vitale;S. Vitale;MENGOLI;11;23;;
1730;2018;San Donato - San Vitale;S. Vitale;GUELFA;19;29;;
1752;2018;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;5;12;;
1787;2018;Porto - Saragozza;Costa Saragozza;XXI APRILE;20;28;;
1795;2018;Porto - Saragozza;Costa Saragozza;XXI APRILE;34;39;;
1829;2018;Porto - Saragozza;Costa Saragozza;XXI APRILE;3;3;;
1838;2018;Porto - Saragozza;Costa Saragozza;XXI APRILE;13;19;;
1842;2018;Porto - Saragozza;Costa Saragozza;XXI APRILE;11;15;;
1845;2018;Porto - Saragozza;Costa Saragozza;XXI APRILE;32;39;;
1866;2018;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;5;5;;
1874;2018;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;33;49;;
1897;2018;Porto - Saragozza;Costa Saragozza;RAVONE;3;3;;
1972;2018;Porto - Saragozza;Malpighi;MALPIGHI-1;52;107;;
1975;2018;Porto - Saragozza;Malpighi;MALPIGHI-2;85;141;;
1993;2018;Porto - Saragozza;Malpighi;MALPIGHI-2;10;21;;
2010;2018;Savena;Mazzini;FOSSOLO;19;22;;
2056;2018;Savena;Mazzini;PONTEVECCHIO;14;28;;
2065;2018;Savena;Mazzini;PONTEVECCHIO;4;7;;
2078;2018;Savena;Mazzini;BITONE;47;214;;
2212;2018;Savena;S. Ruffillo;VIA TOSCANA;22;62;;
2253;2018;Savena;S. Ruffillo;CORELLI;26;37;;
2289;2018;Savena;S. Ruffillo;MONTE DONATO;7;7;;
41;2017;Borgo Panigale - Reno;Borgo Panigale;BARGELLINO;11;142;;
67;2017;Borgo Panigale - Reno;Borgo Panigale;LA BIRRA;5;25;;
79;2017;Borgo Panigale - Reno;Borgo Panigale;DUCATI-VILLAGGIO INA;30;48;;
94;2017;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;1;1;;
105;2017;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;8;9;;
145;2017;Borgo Panigale - Reno;Borgo Panigale;TRIUMVIRATO-PIETRA;104;782;42;
151;2017;Borgo Panigale - Reno;Borgo Panigale;TRIUMVIRATO-PIETRA;12;79;;
175;2017;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;1;2;;
200;2017;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;4;162;;
237;2017;Navile;Bolognina;ARCOVEGGIO;5;5;;
240;2017;Navile;Bolognina;ARCOVEGGIO;4;20;;
312;2017;Navile;Bolognina;VIA FERRARESE;2;2;;
374;2017;Navile;Corticella;SAVENA ABBANDONATO;1;1;;
409;2017;Navile;Corticella;SAN SAVINO;6;6;;
452;2017;Navile;Corticella;CROCE COPERTA;39;222;;
464;2017;Navile;Corticella;CROCE COPERTA;4;4;;
477;2017;Navile;Corticella;SAVENA ABBANDONATO;6;19;;
524;2017;Navile;Lame;TIRO A SEGNO;1;1;;
551;2017;Navile;Lame;PESCAROLA;11;24;;
688;2017;Porto - Saragozza;Marconi;MARCONI-1;4;18;;
860;2017;Borgo Panigale - Reno;Barca;CANALE DI RENO;4;5;;
1005;2017;San Donato - San Vitale;San Donato;VIA DEL LAVORO;33;48;;
1084;2017;San Donato - San Vitale;San Donato;SAN DONNINO;3;8;;
1086;2017;San Donato - San Vitale;San Donato;PILASTRO;33;258;39;
1108;2017;San Donato - San Vitale;San Donato;PILASTRO;5;7;;
1170;2017;Santo Stefano;Colli;SAN MICHELE IN BOSCO;42;173;1307;
1203;2017;Santo Stefano;Colli;PADERNO;7;15;;
1248;2017;Santo Stefano;Galvani;GALVANI-2;33;42;;
1342;2017;Santo Stefano;Murri;MEZZOFANTI;9;9;;
1348;2017;Santo Stefano;Murri;DAGNINI;21;26;;
1387;2017;Santo Stefano;Murri;SIEPELUNGA;8;21;;
1491;2017;Santo Stefano;Irnerio;IRNERIO-1;6;6;;
1518;2017;Santo Stefano;Irnerio;IRNERIO-1;48;286;;
1519;2017;Santo Stefano;Irnerio;IRNERIO-1;46;86;;
1547;2017;Santo Stefano;Irnerio;IRNERIO-2;45;108;3;
1555;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;27;31;;
1571;2017;San Donato - San Vitale;S. Vitale;OSPEDALE SANT'ORSOLA;11;21;5409;
1609;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;2;14;;
1611;2017;San Donato - San Vitale;S. Vitale;MENGOLI;58;128;;
1755;2017;San Donato - San Vitale;S. Vitale;STRADELLI GUELFI;4;5;;
1770;2017;San Donato - San Vitale;S. Vitale;GUELFA;10;17;;
1774;2017;San Donato - San Vitale;S. Vitale;GUELFA;11;29;;
1789;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;15;38;;
1874;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;33;46;;
1889;2017;Porto - Saragozza;Costa Saragozza;RAVONE;4;4;;
1908;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;3;2;;
1916;2017;Porto - Saragozza;Costa Saragozza;SAN LUCA;3;6;;
1940;2017;Porto - Saragozza;Malpighi;MALPIGHI-2;81;139;;
1971;2017;Porto - Saragozza;Malpighi;MALPIGHI-1;49;146;;
2047;2017;Savena;Mazzini;DUE MADONNE;10;15;11;
2055;2017;Savena;Mazzini;PONTEVECCHIO;4;3;;
2102;2017;Savena;Mazzini;BITONE;13;92;;
2103;2017;Savena;Mazzini;BITONE;11;29;;
2113;2017;Savena;Mazzini;BITONE;14;30;;
2115;2017;Savena;Mazzini;BITONE;6;11;;
2118;2017;Savena;Mazzini;BITONE;20;48;71;
2129;2017;Savena;Mazzini;VIA ARNO;18;19;;
2131;2017;Savena;Mazzini;VIA ARNO;10;12;;
2266;2017;Savena;S. Ruffillo;CORELLI;35;52;;
2280;2017;Savena;S. Ruffillo;CORELLI;3;3;;
2285;2017;Savena;S. Ruffillo;CORELLI;3;7;;
2291;2017;Savena;S. Ruffillo;MONTE DONATO;4;4;;
2324;2017;Navile;Corticella;CROCE COPERTA;27;99;;
2331;2017;San Donato - San Vitale;S. Vitale;VIA LARGA;12;13;382;
7;2019;Borgo Panigale - Reno;Borgo Panigale;VIA DEL VIVAIO;1;1;;
23;2019;Borgo Panigale - Reno;Borgo Panigale;BARGELLINO;81;857;;
29;2019;Borgo Panigale - Reno;Borgo Panigale;AEROPORTO;39;1739;;
43;2019;Borgo Panigale - Reno;Borgo Panigale;AEROPORTO;3;3;;
266;2017;Navile;Bolognina;ARCOVEGGIO;5;5;;
275;2017;Navile;Bolognina;PIAZZA DELL'UNITA';25;39;;
280;2017;Navile;Bolognina;PIAZZA DELL'UNITA';3;3;;
290;2017;Navile;Bolognina;PIAZZA DELL'UNITA';32;99;;
300;2017;Navile;Bolognina;VIA FERRARESE;9;10;;
309;2017;Navile;Bolognina;VIA FERRARESE;20;33;;
348;2017;Navile;Bolognina;PIAZZA DELL'UNITA';32;43;;
353;2017;Navile;Bolognina;PIAZZA DELL'UNITA';12;21;;
394;2017;Navile;Corticella;SAN SAVINO;6;14;;
405;2017;Navile;Corticella;SAN SAVINO;17;30;;
453;2017;Navile;Corticella;CROCE COPERTA;6;10;;
467;2017;Navile;Corticella;CROCE COPERTA;17;27;;
469;2017;Navile;Corticella;CROCE COPERTA;33;69;;
473;2017;Navile;Corticella;CROCE COPERTA;6;54;;
486;2017;Navile;Corticella;LA DOZZA;2;2;;
554;2017;Navile;Lame;PESCAROLA;16;16;;
570;2017;Navile;Lame;BEVERARA;14;450;;
599;2017;Navile;Lame;BEVERARA;3;1502;;
603;2017;Porto - Saragozza;Marconi;MARCONI-2;58;137;;
702;2017;Porto - Saragozza;Saffi;SCALO RAVONE;10;592;;
717;2017;Porto - Saragozza;Saffi;ZANARDI;6;6;;
735;2017;Porto - Saragozza;Saffi;VELODROMO;11;72;;
747;2017;Porto - Saragozza;Saffi;VELODROMO;16;26;;
758;2017;Porto - Saragozza;Saffi;VELODROMO;47;82;;
764;2017;Porto - Saragozza;Saffi;VIA VITTORIO VENETO;39;115;;
771;2017;Porto - Saragozza;Saffi;VIA VITTORIO VENETO;14;21;;
785;2017;Borgo Panigale - Reno;Barca;VILLAGGIO DELLA BARCA;8;28;;
807;2017;Borgo Panigale - Reno;Barca;BATTINDARNO;19;24;;
808;2017;Borgo Panigale - Reno;Barca;BATTINDARNO;21;50;;
812;2017;Borgo Panigale - Reno;Barca;BATTINDARNO;11;16;;
815;2017;Borgo Panigale - Reno;Barca;BATTINDARNO;20;26;10;
826;2017;Borgo Panigale - Reno;Barca;VILLAGGIO DELLA BARCA;7;9;;
872;2017;Borgo Panigale - Reno;Barca;CANALE DI RENO;9;11;;
882;2017;Borgo Panigale - Reno;Barca;CANALE DI RENO;1;17;;
913;2017;Borgo Panigale - Reno;S. Viola;EMILIA PONENTE;24;66;;
922;2017;Borgo Panigale - Reno;S. Viola;EMILIA PONENTE;19;37;;
936;2017;San Donato - San Vitale;San Donato;CADRIANO-CALAMOSCO;1;2;;
939;2017;San Donato - San Vitale;San Donato;CADRIANO-CALAMOSCO;9;937;;
958;2017;San Donato - San Vitale;San Donato;CADRIANO-CALAMOSCO;6;8;;
978;2017;San Donato - San Vitale;San Donato;VIA DEL LAVORO;6;8;;
1063;2017;San Donato - San Vitale;San Donato;VIA MONDO;7;11;;
1069;2017;San Donato - San Vitale;San Donato;MICHELINO;6;8;;
1070;2017;San Donato - San Vitale;San Donato;VIA MONDO;26;49;;
1077;2017;San Donato - San Vitale;San Donato;SAN DONNINO;11;11;;
1105;2017;San Donato - San Vitale;San Donato;PILASTRO;4;9;;
1115;2017;San Donato - San Vitale;San Donato;CAAB;10;90;;
1123;2017;San Donato - San Vitale;San Donato;CAAB;18;573;8;
1137;2017;Santo Stefano;Colli;OSSERVANZA;9;10;;
1221;2017;Santo Stefano;Galvani;GALVANI-1;3;68;;
1229;2017;Santo Stefano;Galvani;GALVANI-1;82;107;;
1231;2017;Santo Stefano;Galvani;GALVANI-1;58;89;;
1302;2017;Santo Stefano;Murri;MEZZOFANTI;16;15;;
1308;2017;Santo Stefano;Murri;MEZZOFANTI;31;65;;
1325;2017;Santo Stefano;Murri;MEZZOFANTI;23;44;;
1333;2017;Santo Stefano;Murri;DAGNINI;17;20;;
1365;2017;Santo Stefano;Murri;DAGNINI;13;13;;
1400;2017;Santo Stefano;Murri;SIEPELUNGA;10;12;;
1406;2017;Santo Stefano;Murri;SIEPELUNGA;14;14;;
1413;2017;Santo Stefano;Murri;CHIESANUOVA;35;42;;
1416;2017;Santo Stefano;Murri;CHIESANUOVA;5;7;;
1421;2017;Santo Stefano;Murri;CHIESANUOVA;18;24;;
1424;2017;Santo Stefano;Murri;CHIESANUOVA;20;33;;
1432;2017;Santo Stefano;Murri;CHIESANUOVA;5;5;;
1445;2017;Santo Stefano;Murri;CHIESANUOVA;19;39;;
1568;2017;San Donato - San Vitale;S. Vitale;OSPEDALE SANT'ORSOLA;4;10;1889;
1574;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;24;240;34;
1576;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;23;33;;
1585;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;9;12;;
1586;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;7;6;;
1606;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;4;31;;
1607;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;22;22;;
1612;2017;San Donato - San Vitale;S. Vitale;MENGOLI;10;16;;
1622;2017;San Donato - San Vitale;S. Vitale;MENGOLI;10;16;;
1868;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;44;75;;
1883;2017;Porto - Saragozza;Costa Saragozza;SAN LUCA;3;5;;
1907;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;15;16;;
1937;2017;Porto - Saragozza;Malpighi;MALPIGHI-2;57;116;;
1961;2017;Porto - Saragozza;Malpighi;MALPIGHI-1;3;5;447;
1995;2017;Porto - Saragozza;Malpighi;MALPIGHI-2;12;12;;
2006;2017;Savena;Mazzini;FOSSOLO;20;21;;
2021;2017;Savena;Mazzini;PONTEVECCHIO;9;10;;
2025;2017;Savena;Mazzini;PONTEVECCHIO;39;69;;
2085;2017;Savena;Mazzini;BITONE;12;19;;
2091;2017;Savena;Mazzini;BITONE;11;12;;
2096;2017;Savena;Mazzini;BITONE;19;37;;
2098;2017;Savena;Mazzini;BITONE;10;11;;
2126;2017;Savena;Mazzini;VIA ARNO;31;188;;
2127;2017;Savena;Mazzini;VIA ARNO;15;20;;
2128;2017;Savena;Mazzini;VIA ARNO;44;87;;
2144;2017;Savena;Mazzini;CAVEDONE;11;12;;
2161;2017;Savena;S. Ruffillo;VIA TOSCANA;1;2;;
2184;2017;Savena;S. Ruffillo;VIA TOSCANA;6;7;;
2196;2017;Savena;S. Ruffillo;MONTE DONATO;2;2;;
2205;2017;Savena;S. Ruffillo;VIA TOSCANA;58;121;;
609;2019;Porto - Saragozza;Marconi;MARCONI-2;81;672;;
612;2019;Porto - Saragozza;Marconi;MARCONI-2;1;2;;236
629;2019;Porto - Saragozza;Marconi;MARCONI-2;11;22;;
