area_name,household_type,household_size,households
la noce,Padre con figli e altri membri conviventi,4,7
laghetti del rosario,Padre con figli e altri membri conviventi,4,3
lazzaretto,Padre con figli e altri membri conviventi,4,4
pescarola,Padre con figli e altri membri conviventi,4,20
tiro a segno,Padre con figli e altri membri conviventi,4,1
beverara,Padre con figli e altri membri conviventi,5,6
la noce,Padre con figli e altri membri conviventi,5,2
laghetti del rosario,Padre con figli e altri membri conviventi,5,1
lazzaretto,Padre con figli e altri membri conviventi,5,1
pescarola,Padre con figli e altri membri conviventi,5,4
tiro a segno,Padre con figli e altri membri conviventi,5,1
ravone,Coniugi con altri membri conviventi,3,2
san giuseppe,Coniugi con altri membri conviventi,3,10
san luca,Coniugi con altri membri conviventi,3,2
stadio-meloncello,Coniugi con altri membri conviventi,3,6
via del genio,Coniugi con altri membri conviventi,3,1
xxi aprile,Coniugi con altri membri conviventi,3,20
ravone,Coniugi con figli,3,49
san giuseppe,Coniugi con figli,3,250
san luca,Coniugi con figli,3,27
stadio-meloncello,Coniugi con figli,3,144
via del genio,Coniugi con figli,3,1
xxi aprile,Coniugi con figli,3,507
ravone,Madre con figli,2,37
san giuseppe,Madre con figli,2,190
san luca,Madre con figli,2,20
stadio-meloncello,Madre con figli,2,109
via del genio,Madre con figli,2,1
xxi aprile,Madre con figli,2,384
ravone,Padre con figli e altri membri conviventi,3,9
san giuseppe,Padre con figli e altri membri conviventi,3,43
san luca,Padre con figli e altri membri conviventi,3,5
stadio-meloncello,Padre con figli e altri membri conviventi,3,25
via del genio,Padre con figli e altri membri conviventi,3,1
xxi aprile,Padre con figli e altri membri conviventi,3,87
ravone,Padre con figli e altri membri conviventi,4,5
san giuseppe,Padre con figli e altri membri conviventi,4,26
san luca,Padre con figli e altri membri conviventi,4,3
stadio-meloncello,Padre con figli e altri membri conviventi,4,15
via del genio,Padre con figli e altri membri conviventi,4,1
xxi aprile,Padre con figli e altri membri conviventi,4,51
malpighi-1,Coniugi,2,106
malpighi-2,Coniugi,2,560
malpighi-1,Coppia unita civilmente femminile con figli ed eventuali conviventi,4,1
malpighi-2,Coppia unita civilmente femminile con figli ed eventuali conviventi,4,1
malpighi-1,Madre con figli e altri membri conviventi,6-10,1
malpighi-2,Madre con figli e altri membri conviventi,6-10,1
malpighi-1,Padre con figli e altri membri conviventi,3,12
malpighi-2,Padre con figli e altri membri conviventi,3,64
marconi-1,Altre tipologie familiari,2,55
marconi-2,Altre tipologie familiari,2,289
marconi-1,Coniugi con altri membri conviventi,5,1
marconi-2,Coniugi con altri membri conviventi,5,1
marconi-1,Coniugi con figli e altri membri conviventi,5,4
marconi-2,Coniugi con figli e altri membri conviventi,5,17
prati di caprara-ospedale maggiore,Coniugi con figli,3,17
scalo ravone,Coniugi con figli,3,6
velodromo,Coniugi con figli,3,202
via vittorio veneto,Coniugi con figli,3,188
zanardi,Coniugi con figli,3,229
prati di caprara-ospedale maggiore,Madre con figli,3,5
scalo ravone,Madre con figli,3,2
velodromo,Madre con figli,3,56
via vittorio veneto,Madre con figli,3,52
zanardi,Madre con figli,3,63
prati di caprara-ospedale maggiore,Madre con figli e altri membri conviventi,3,4
scalo ravone,Madre con figli e altri membri conviventi,3,2
velodromo,Madre con figli e altri membri conviventi,3,47
via vittorio veneto,Madre con figli e altri membri conviventi,3,43
zanardi,Madre con figli e altri membri conviventi,3,53
caab,Coniugi con figli e altri membri conviventi,6-10,2
cadriano-calamosco,Coniugi con figli e altri membri conviventi,6-10,4
fiera,Coniugi con figli e altri membri conviventi,6-10,1
michelino,Coniugi con figli e altri membri conviventi,6-10,19
pilastro,Coniugi con figli e altri membri conviventi,6-10,29
san donnino,Coniugi con figli e altri membri conviventi,6-10,12
scalo merci san donato,Coniugi con figli e altri membri conviventi,6-10,1
via del lavoro,Coniugi con figli e altri membri conviventi,6-10,33
via mondo,Coniugi con figli e altri membri conviventi,6-10,33
caab,Coniugi con figli e altri membri conviventi,Oltre 10,1
cadriano-calamosco,Coniugi con figli e altri membri conviventi,Oltre 10,1
fiera,Coniugi con figli e altri membri conviventi,Oltre 10,1
michelino,Coniugi con figli e altri membri conviventi,Oltre 10,2
pilastro,Coniugi con figli e altri membri conviventi,Oltre 10,2
san donnino,Coniugi con figli e altri membri conviventi,Oltre 10,1
scalo merci san donato,Coniugi con figli e altri membri conviventi,Oltre 10,1
via del lavoro,Coniugi con figli e altri membri conviventi,Oltre 10,3
via mondo,Coniugi con figli e altri membri conviventi,Oltre 10,3
caab,Coppia unita civilmente femminile,2,1
cadriano-calamosco,Coppia unita civilmente femminile,2,1
fiera,Coppia unita civilmente femminile,2,1
michelino,Coppia unita civilmente femminile,2,2
pilastro,Coppia unita civilmente femminile,2,2
san donnino,Coppia unita civilmente femminile,2,1
scalo merci san donato,Coppia unita civilmente femminile,2,1
via del lavoro,Coppia unita civilmente femminile,2,3
via mondo,Coppia unita civilmente femminile,2,3
caab,Coppia unita civilmente femminile con altri conviventi,3,1
cadriano-calamosco,Coppia unita civilmente femminile con altri conviventi,3,1
fiera,Coppia unita civilmente femminile con altri conviventi,3,1
michelino,Coppia unita civilmente femminile con altri conviventi,3,1
pilastro,Coppia unita civilmente femminile con altri conviventi,3,1
san donnino,Coppia unita civilmente femminile con altri conviventi,3,1
scalo merci san donato,Coppia unita civilmente femminile con altri conviventi,3,1
via del lavoro,Coppia unita civilmente femminile con altri conviventi,3,1
via mondo,Coppia unita civilmente femminile con altri conviventi,3,1
caab,Madre con figli,4,1
cadriano-calamosco,Madre con figli,4,2
fiera,Madre con figli,4,1
michelino,Madre con figli,4,7
pilastro,Madre con figli,4,11
san donnino,Madre con figli,4,5
scalo merci san donato,Madre con figli,4,1
via del lavoro,Madre con figli,4,13
via mondo,Madre con figli,4,13
caab,Padre con figli,3,1
cadriano-calamosco,Padre con figli,3,2
fiera,Padre con figli,3,1
michelino,Padre con figli,3,7
pilastro,Padre con figli,3,11
san donnino,Padre con figli,3,5
scalo merci san donato,Padre con figli,3,1
via del lavoro,Padre con figli,3,12
via mondo,Padre con figli,3,12
caab,Padre con figli e altri membri conviventi,Oltre 10,1
cadriano-calamosco,Padre con figli e altri membri conviventi,Oltre 10,1
fiera,Padre con figli e altri membri conviventi,Oltre 10,1
michelino,Padre con figli e altri membri conviventi,Oltre 10,1
pilastro,Padre con figli e altri membri conviventi,Oltre 10,1
san donnino,Padre con figli e altri membri conviventi,Oltre 10,1
scalo merci san donato,Padre con figli e altri membri conviventi,Oltre 10,1
via del lavoro,Padre con figli e altri membri conviventi,Oltre 10,1
via mondo,Padre con figli e altri membri conviventi,Oltre 10,1
osservanza,Altre tipologie familiari,4,5
paderno,Altre tipologie familiari,4,2
san michele in bosco,Altre tipologie familiari,4,3
osservanza,Coniugi con figli,4,155
paderno,Coniugi con figli,4,59
san michele in bosco,Coniugi con figli,4,97
osservanza,Coniugi con figli,5,48
paderno,Coniugi con figli,5,18
san michele in bosco,Coniugi con figli,5,30
osservanza,Coniugi con figli e altri membri conviventi,6-10,4
paderno,Coniugi con figli e altri membri conviventi,6-10,2
san michele in bosco,Coniugi con figli e altri membri conviventi,6-10,3
osservanza,Madre con figli e altri membri conviventi,6-10,4
paderno,Madre con figli e altri membri conviventi,6-10,2
san michele in bosco,Madre con figli e altri membri conviventi,6-10,3
osservanza,Padre con figli,3,15
paderno,Padre con figli,3,6
san michele in bosco,Padre con figli,3,10
osservanza,Padre con figli e altri membri conviventi,5,5
paderno,Padre con figli e altri membri conviventi,5,2
san michele in bosco,Padre con figli e altri membri conviventi,5,3
galvani-1,Altre tipologie familiari,2,45
galvani-2,Altre tipologie familiari,2,279
galvani-1,Coppia unita civilmente femminile,2,1
galvani-2,Coppia unita civilmente femminile,2,1
galvani-1,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
galvani-2,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
galvani-1,Padre con figli,2,15
galvani-2,Padre con figli,2,93
galvani-1,Padre con figli e altri membri conviventi,5,2
galvani-2,Padre con figli e altri membri conviventi,5,8
irnerio-1,Coniugi con figli,6-10,3
irnerio-2,Coniugi con figli,6-10,6
irnerio-1,Coppia unita civilmente femminile,2,1
irnerio-2,Coppia unita civilmente femminile,2,1
irnerio-1,Coppia unita civilmente femminile con altri conviventi,3,1
irnerio-2,Coppia unita civilmente femminile con altri conviventi,3,1
irnerio-1,Madre con figli,3,38
irnerio-2,Madre con figli,3,103
irnerio-1,Madre con figli,4,4
irnerio-2,Madre con figli,4,11
irnerio-1,Padre con figli e altri membri conviventi,5,2
irnerio-2,Padre con figli e altri membri conviventi,5,5
irnerio-1,Sola,1,828
irnerio-2,Sola,1,2273
bitone,Altre tipologie familiari,5,2
cavedone,Altre tipologie familiari,5,1
due madonne,Altre tipologie familiari,5,1
fossolo,Altre tipologie familiari,5,2
lungo savena,Altre tipologie familiari,5,1
ospedale bellaria,Altre tipologie familiari,5,1
pontevecchio,Altre tipologie familiari,5,1
via arno,Altre tipologie familiari,5,1
bitone,Padre con figli,4,3
cavedone,Padre con figli,4,1
due madonne,Padre con figli,4,1
fossolo,Padre con figli,4,2
lungo savena,Padre con figli,4,1
ospedale bellaria,Padre con figli,4,1
pontevecchio,Padre con figli,4,2
via arno,Padre con figli,4,2
irnerio-1,Madre con figli e altri membri conviventi,6-10,1
irnerio-2,Madre con figli e altri membri conviventi,6-10,1
chiesanuova,Coniugi con figli,6-10,10
dagnini,Coniugi con figli,6-10,12
giardini margherita,Coniugi con figli,6-10,1
mezzofanti,Coniugi con figli,6-10,10
siepelunga,Coniugi con figli,6-10,6
bitone,Coniugi,2,831
cavedone,Coniugi,2,242
due madonne,Coniugi,2,233
fossolo,Coniugi,2,670
lungo savena,Coniugi,2,14
ospedale bellaria,Coniugi,2,10
pontevecchio,Coniugi,2,407
via arno,Coniugi,2,547
bitone,Madre con figli e altri membri conviventi,5,9
cavedone,Madre con figli e altri membri conviventi,5,3
due madonne,Madre con figli e altri membri conviventi,5,3
fossolo,Madre con figli e altri membri conviventi,5,7
lungo savena,Madre con figli e altri membri conviventi,5,1
ospedale bellaria,Madre con figli e altri membri conviventi,5,1
pontevecchio,Madre con figli e altri membri conviventi,5,4
via arno,Madre con figli e altri membri conviventi,5,6
aeroporto,Madre con figli e altri membri conviventi,5,1
bargellino,Madre con figli e altri membri conviventi,5,1
borgo centro,Madre con figli e altri membri conviventi,5,8
casteldebole,Madre con figli e altri membri conviventi,5,5
ducati-villaggio ina,Madre con figli e altri membri conviventi,5,3
la birra,Madre con figli e altri membri conviventi,5,2
lavino di mezzo,Madre con figli e altri membri conviventi,5,1
lungo reno,Madre con figli e altri membri conviventi,5,1
rigosa,Madre con figli e altri membri conviventi,5,2
triumvirato-pietra,Madre con figli e altri membri conviventi,5,6
via del vivaio,Madre con figli e altri membri conviventi,5,1
malpighi-1,Coniugi con altri membri conviventi,3,3
malpighi-2,Coniugi con altri membri conviventi,3,15
malpighi-1,Madre con figli e altri membri conviventi,4,6
malpighi-2,Madre con figli e altri membri conviventi,4,31
malpighi-1,Padre con figli e altri membri conviventi,4,7
malpighi-2,Padre con figli e altri membri conviventi,4,38
marconi-1,Coniugi con figli,6-10,2
marconi-2,Coniugi con figli,6-10,6
marconi-1,Madre con figli e altri membri conviventi,6-10,1
marconi-2,Madre con figli e altri membri conviventi,6-10,2
marconi-1,Padre con figli e altri membri conviventi,6-10,1
marconi-2,Padre con figli e altri membri conviventi,6-10,2
osservanza,Altre tipologie familiari,6-10,1
paderno,Altre tipologie familiari,6-10,1
san michele in bosco,Altre tipologie familiari,6-10,1
osservanza,Madre con figli,2,128
paderno,Madre con figli,2,49
san michele in bosco,Madre con figli,2,80
galvani-1,Coniugi con figli,4,43
galvani-2,Coniugi con figli,4,266
irnerio-1,Coppia unita civilmente maschile con figli ed eventuali conviventi,3,1
irnerio-2,Coppia unita civilmente maschile con figli ed eventuali conviventi,3,1
irnerio-1,Padre con figli e altri membri conviventi,3,19
irnerio-2,Padre con figli e altri membri conviventi,3,50
chiesanuova,Coniugi con figli,3,294
dagnini,Coniugi con figli,3,377
giardini margherita,Coniugi con figli,3,2
mezzofanti,Coniugi con figli,3,295
siepelunga,Coniugi con figli,3,177
chiesanuova,Coniugi con figli,4,266
dagnini,Coniugi con figli,4,340
giardini margherita,Coniugi con figli,4,2
mezzofanti,Coniugi con figli,4,267
siepelunga,Coniugi con figli,4,159
chiesanuova,Madre con figli,2,223
dagnini,Madre con figli,2,285
giardini margherita,Madre con figli,2,1
mezzofanti,Madre con figli,2,223
siepelunga,Madre con figli,2,134
chiesanuova,Padre con figli,3,19
dagnini,Padre con figli,3,24
giardini margherita,Padre con figli,3,1
mezzofanti,Padre con figli,3,19
siepelunga,Padre con figli,3,11
chiesanuova,Padre con figli,4,3
dagnini,Padre con figli,4,3
giardini margherita,Padre con figli,4,1
mezzofanti,Padre con figli,4,3
siepelunga,Padre con figli,4,2
bitone,Altre tipologie familiari,3,16
cavedone,Altre tipologie familiari,3,5
due madonne,Altre tipologie familiari,3,5
fossolo,Altre tipologie familiari,3,13
lungo savena,Altre tipologie familiari,3,1
ospedale bellaria,Altre tipologie familiari,3,1
pontevecchio,Altre tipologie familiari,3,8
via arno,Altre tipologie familiari,3,11
bitone,Coniugi con figli e altri membri conviventi,5,18
cavedone,Coniugi con figli e altri membri conviventi,5,6
due madonne,Coniugi con figli e altri membri conviventi,5,5
fossolo,Coniugi con figli e altri membri conviventi,5,15
lungo savena,Coniugi con figli e altri membri conviventi,5,1
ospedale bellaria,Coniugi con figli e altri membri conviventi,5,1
pontevecchio,Coniugi con figli e altri membri conviventi,5,9
via arno,Coniugi con figli e altri membri conviventi,5,12
bitone,Madre con figli,2,323
cavedone,Madre con figli,2,95
due madonne,Madre con figli,2,91
fossolo,Madre con figli,2,261
lungo savena,Madre con figli,2,6
ospedale bellaria,Madre con figli,2,4
pontevecchio,Madre con figli,2,159
via arno,Madre con figli,2,213
aeroporto,Padre con figli e altri membri conviventi,6-10,1
bargellino,Padre con figli e altri membri conviventi,6-10,1
borgo centro,Padre con figli e altri membri conviventi,6-10,6
casteldebole,Padre con figli e altri membri conviventi,6-10,4
ducati-villaggio ina,Padre con figli e altri membri conviventi,6-10,3
la birra,Padre con figli e altri membri conviventi,6-10,2
lavino di mezzo,Padre con figli e altri membri conviventi,6-10,1
lungo reno,Padre con figli e altri membri conviventi,6-10,1
rigosa,Padre con figli e altri membri conviventi,6-10,1
triumvirato-pietra,Padre con figli e altri membri conviventi,6-10,4
via del vivaio,Padre con figli e altri membri conviventi,6-10,1
arcoveggio,Altre tipologie familiari,4,9
caserme rosse-manifattura,Altre tipologie familiari,4,2
cnr,Altre tipologie familiari,4,1
ex mercato ortofrutticolo,Altre tipologie familiari,4,2
piazza dell'unita',Altre tipologie familiari,4,10
via ferrarese,Altre tipologie familiari,4,10
arcoveggio,Padre con figli e altri membri conviventi,5,9
caserme rosse-manifattura,Padre con figli e altri membri conviventi,5,2
cnr,Padre con figli e altri membri conviventi,5,1
ex mercato ortofrutticolo,Padre con figli e altri membri conviventi,5,2
piazza dell'unita',Padre con figli e altri membri conviventi,5,9
via ferrarese,Padre con figli e altri membri conviventi,5,10
croce coperta,Altre tipologie familiari,2,132
la dozza,Altre tipologie familiari,2,30
mulino del gomito,Altre tipologie familiari,2,16
san savino,Altre tipologie familiari,2,203
savena abbandonato,Altre tipologie familiari,2,23
croce coperta,Coniugi con altri membri conviventi,5,2
la dozza,Coniugi con altri membri conviventi,5,1
mulino del gomito,Coniugi con altri membri conviventi,5,1
san savino,Coniugi con altri membri conviventi,5,4
savena abbandonato,Coniugi con altri membri conviventi,5,1
croce coperta,Padre con figli,3,11
la dozza,Padre con figli,3,3
mulino del gomito,Padre con figli,3,2
san savino,Padre con figli,3,16
savena abbandonato,Padre con figli,3,2
ravone,Padre con figli e altri membri conviventi,6-10,1
san giuseppe,Padre con figli e altri membri conviventi,6-10,2
san luca,Padre con figli e altri membri conviventi,6-10,1
stadio-meloncello,Padre con figli e altri membri conviventi,6-10,1
via del genio,Padre con figli e altri membri conviventi,6-10,1
xxi aprile,Padre con figli e altri membri conviventi,6-10,3
ravone,Solo,1,157
san giuseppe,Solo,1,812
san luca,Solo,1,86
stadio-meloncello,Solo,1,466
via del genio,Solo,1,3
xxi aprile,Solo,1,1647
battindarno,Coniugi con altri membri conviventi,3,27
canale di reno,Coniugi con altri membri conviventi,3,20
villaggio della barca,Coniugi con altri membri conviventi,3,19
battindarno,Coniugi con altri membri conviventi,6-10,2
canale di reno,Coniugi con altri membri conviventi,6-10,1
villaggio della barca,Coniugi con altri membri conviventi,6-10,1
arcoveggio,Coniugi con altri membri conviventi,5,2
caserme rosse-manifattura,Coniugi con altri membri conviventi,5,1
cnr,Coniugi con altri membri conviventi,5,1
ex mercato ortofrutticolo,Coniugi con altri membri conviventi,5,1
piazza dell'unita',Coniugi con altri membri conviventi,5,2
via ferrarese,Coniugi con altri membri conviventi,5,2
arcoveggio,Madre con figli,6-10,1
caserme rosse-manifattura,Madre con figli,6-10,1
cnr,Madre con figli,6-10,1
ex mercato ortofrutticolo,Madre con figli,6-10,1
piazza dell'unita',Madre con figli,6-10,1
via ferrarese,Madre con figli,6-10,1
arcoveggio,Padre con figli,3,14
caserme rosse-manifattura,Padre con figli,3,3
cnr,Padre con figli,3,1
ex mercato ortofrutticolo,Padre con figli,3,3
piazza dell'unita',Padre con figli,3,15
via ferrarese,Padre con figli,3,17
croce coperta,Altre tipologie familiari,4,3
la dozza,Altre tipologie familiari,4,1
mulino del gomito,Altre tipologie familiari,4,1
san savino,Altre tipologie familiari,4,4
savena abbandonato,Altre tipologie familiari,4,1
croce coperta,Coniugi con altri membri conviventi,3,13
la dozza,Coniugi con altri membri conviventi,3,3
mulino del gomito,Coniugi con altri membri conviventi,3,2
san savino,Coniugi con altri membri conviventi,3,19
savena abbandonato,Coniugi con altri membri conviventi,3,3
beverara,Coniugi con figli e altri membri conviventi,4,16
la noce,Coniugi con figli e altri membri conviventi,4,4
laghetti del rosario,Coniugi con figli e altri membri conviventi,4,2
lazzaretto,Coniugi con figli e altri membri conviventi,4,3
pescarola,Coniugi con figli e altri membri conviventi,4,11
tiro a segno,Coniugi con figli e altri membri conviventi,4,1
ravone,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
san giuseppe,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,2
san luca,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
stadio-meloncello,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
via del genio,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
xxi aprile,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,3
ravone,Madre con figli e altri membri conviventi,4,6
san giuseppe,Madre con figli e altri membri conviventi,4,28
san luca,Madre con figli e altri membri conviventi,4,3
stadio-meloncello,Madre con figli e altri membri conviventi,4,16
via del genio,Madre con figli e altri membri conviventi,4,1
xxi aprile,Madre con figli e altri membri conviventi,4,57
malpighi-1,Altre tipologie familiari,2,42
malpighi-2,Altre tipologie familiari,2,223
malpighi-1,Madre con figli,6-10,1
malpighi-2,Madre con figli,6-10,2
malpighi-1,Padre con figli,2,13
malpighi-2,Padre con figli,2,66
marconi-1,Coniugi con altri membri conviventi,4,1
marconi-2,Coniugi con altri membri conviventi,4,5
marconi-1,Coppia unita civilmente femminile,2,1
marconi-2,Coppia unita civilmente femminile,2,4
marconi-1,Madre con figli,2,74
marconi-2,Madre con figli,2,388
marconi-1,Madre con figli e altri membri conviventi,5,2
marconi-2,Madre con figli e altri membri conviventi,5,6
marconi-1,Padre con figli,4,1
marconi-2,Padre con figli,4,3
prati di caprara-ospedale maggiore,Altre tipologie familiari,2,12
scalo ravone,Altre tipologie familiari,2,4
velodromo,Altre tipologie familiari,2,138
via vittorio veneto,Altre tipologie familiari,2,129
zanardi,Altre tipologie familiari,2,157
prati di caprara-ospedale maggiore,Coppia unita civilmente femminile,2,1
scalo ravone,Coppia unita civilmente femminile,2,1
velodromo,Coppia unita civilmente femminile,2,2
via vittorio veneto,Coppia unita civilmente femminile,2,2
zanardi,Coppia unita civilmente femminile,2,2
prati di caprara-ospedale maggiore,Coppia unita civilmente maschile,2,1
scalo ravone,Coppia unita civilmente maschile,2,1
velodromo,Coppia unita civilmente maschile,2,4
via vittorio veneto,Coppia unita civilmente maschile,2,4
zanardi,Coppia unita civilmente maschile,2,5
caab,Altre tipologie familiari,6-10,1
cadriano-calamosco,Altre tipologie familiari,6-10,1
fiera,Altre tipologie familiari,6-10,1
michelino,Altre tipologie familiari,6-10,1
pilastro,Altre tipologie familiari,6-10,1
san donnino,Altre tipologie familiari,6-10,1
scalo merci san donato,Altre tipologie familiari,6-10,1
via del lavoro,Altre tipologie familiari,6-10,1
via mondo,Altre tipologie familiari,6-10,1
caab,Coniugi con figli,3,14
cadriano-calamosco,Coniugi con figli,3,28
fiera,Coniugi con figli,3,1
michelino,Coniugi con figli,3,146
pilastro,Coniugi con figli,3,227
san donnino,Coniugi con figli,3,94
scalo merci san donato,Coniugi con figli,3,2
via del lavoro,Coniugi con figli,3,258
via mondo,Coniugi con figli,3,257
caab,Coniugi con figli,4,11
cadriano-calamosco,Coniugi con figli,4,21
fiera,Coniugi con figli,4,1
michelino,Coniugi con figli,4,112
pilastro,Coniugi con figli,4,174
san donnino,Coniugi con figli,4,72
scalo merci san donato,Coniugi con figli,4,1
via del lavoro,Coniugi con figli,4,198
via mondo,Coniugi con figli,4,197
caab,Padre con figli,6-10,1
cadriano-calamosco,Padre con figli,6-10,1
fiera,Padre con figli,6-10,1
michelino,Padre con figli,6-10,1
pilastro,Padre con figli,6-10,1
san donnino,Padre con figli,6-10,1
scalo merci san donato,Padre con figli,6-10,1
via del lavoro,Padre con figli,6-10,1
via mondo,Padre con figli,6-10,1
osservanza,Coniugi,2,264
paderno,Coniugi,2,100
san michele in bosco,Coniugi,2,165
osservanza,Madre con figli,3,59
paderno,Madre con figli,3,23
san michele in bosco,Madre con figli,3,37
osservanza,Madre con figli,5,2
paderno,Madre con figli,5,1
san michele in bosco,Madre con figli,5,2
osservanza,Madre con figli e altri membri conviventi,4,23
paderno,Madre con figli e altri membri conviventi,4,9
san michele in bosco,Madre con figli e altri membri conviventi,4,15
osservanza,Padre con figli,6-10,1
paderno,Padre con figli,6-10,1
san michele in bosco,Padre con figli,6-10,1
osservanza,Solo,1,449
paderno,Solo,1,170
san michele in bosco,Solo,1,280
galvani-1,Coniugi con figli,3,57
galvani-2,Coniugi con figli,3,358
galvani-1,Coniugi con figli,5,10
galvani-2,Coniugi con figli,5,63
galvani-1,Madre con figli e altri membri conviventi,4,7
galvani-2,Madre con figli e altri membri conviventi,4,39
galvani-1,Padre con figli e altri membri conviventi,3,10
galvani-2,Padre con figli e altri membri conviventi,3,61
galvani-1,Padre con figli e altri membri conviventi,6-10,1
galvani-2,Padre con figli e altri membri conviventi,6-10,1
chiesanuova,Altre tipologie familiari,2,145
dagnini,Altre tipologie familiari,2,185
giardini margherita,Altre tipologie familiari,2,1
mezzofanti,Altre tipologie familiari,2,145
siepelunga,Altre tipologie familiari,2,87
chiesanuova,Altre tipologie familiari,3,13
dagnini,Altre tipologie familiari,3,17
giardini margherita,Altre tipologie familiari,3,1
mezzofanti,Altre tipologie familiari,3,13
siepelunga,Altre tipologie familiari,3,8
chiesanuova,Altre tipologie familiari,4,3
dagnini,Altre tipologie familiari,4,4
giardini margherita,Altre tipologie familiari,4,1
mezzofanti,Altre tipologie familiari,4,3
siepelunga,Altre tipologie familiari,4,2
chiesanuova,Coniugi con figli,5,45
dagnini,Coniugi con figli,5,57
giardini margherita,Coniugi con figli,5,1
mezzofanti,Coniugi con figli,5,45
siepelunga,Coniugi con figli,5,27
chiesanuova,Coppia unita civilmente maschile con altri conviventi,3,1
dagnini,Coppia unita civilmente maschile con altri conviventi,3,1
giardini margherita,Coppia unita civilmente maschile con altri conviventi,3,1
mezzofanti,Coppia unita civilmente maschile con altri conviventi,3,1
siepelunga,Coppia unita civilmente maschile con altri conviventi,3,1
chiesanuova,Madre con figli e altri membri conviventi,5,6
dagnini,Madre con figli e altri membri conviventi,5,8
giardini margherita,Madre con figli e altri membri conviventi,5,1
mezzofanti,Madre con figli e altri membri conviventi,5,6
siepelunga,Madre con figli e altri membri conviventi,5,4
chiesanuova,Padre con figli e altri membri conviventi,5,4
dagnini,Padre con figli e altri membri conviventi,5,5
giardini margherita,Padre con figli e altri membri conviventi,5,1
mezzofanti,Padre con figli e altri membri conviventi,5,4
siepelunga,Padre con figli e altri membri conviventi,5,3
bitone,Coniugi con altri membri conviventi,3,25
cavedone,Coniugi con altri membri conviventi,3,8
due madonne,Coniugi con altri membri conviventi,3,7
fossolo,Coniugi con altri membri conviventi,3,20
lungo savena,Coniugi con altri membri conviventi,3,1
ospedale bellaria,Coniugi con altri membri conviventi,3,1
pontevecchio,Coniugi con altri membri conviventi,3,12
via arno,Coniugi con altri membri conviventi,3,17
bitone,Coniugi con figli,3,443
cavedone,Coniugi con figli,3,129
due madonne,Coniugi con figli,3,124
fossolo,Coniugi con figli,3,357
lungo savena,Coniugi con figli,3,8
ospedale bellaria,Coniugi con figli,3,5
pontevecchio,Coniugi con figli,3,217
via arno,Coniugi con figli,3,292
bitone,Coniugi con figli e altri membri conviventi,Oltre 10,1
cavedone,Coniugi con figli e altri membri conviventi,Oltre 10,1
due madonne,Coniugi con figli e altri membri conviventi,Oltre 10,1
fossolo,Coniugi con figli e altri membri conviventi,Oltre 10,1
lungo savena,Coniugi con figli e altri membri conviventi,Oltre 10,1
ospedale bellaria,Coniugi con figli e altri membri conviventi,Oltre 10,1
pontevecchio,Coniugi con figli e altri membri conviventi,Oltre 10,1
via arno,Coniugi con figli e altri membri conviventi,Oltre 10,1
bitone,Coppia unita civilmente femminile,2,2
cavedone,Coppia unita civilmente femminile,2,1
due madonne,Coppia unita civilmente femminile,2,1
fossolo,Coppia unita civilmente femminile,2,2
lungo savena,Coppia unita civilmente femminile,2,1
ospedale bellaria,Coppia unita civilmente femminile,2,1
pontevecchio,Coppia unita civilmente femminile,2,1
via arno,Coppia unita civilmente femminile,2,2
bitone,Madre con figli e altri membri conviventi,4,50
cavedone,Madre con figli e altri membri conviventi,4,15
due madonne,Madre con figli e altri membri conviventi,4,14
fossolo,Madre con figli e altri membri conviventi,4,40
lungo savena,Madre con figli e altri membri conviventi,4,1
ospedale bellaria,Madre con figli e altri membri conviventi,4,1
pontevecchio,Madre con figli e altri membri conviventi,4,25
via arno,Madre con figli e altri membri conviventi,4,33
bitone,Sola,1,1618
cavedone,Sola,1,471
due madonne,Sola,1,454
fossolo,Sola,1,1304
lungo savena,Sola,1,27
ospedale bellaria,Sola,1,18
pontevecchio,Sola,1,793
via arno,Sola,1,1065
battindarno,Madre con figli,3,90
canale di reno,Madre con figli,3,65
villaggio della barca,Madre con figli,3,61
battindarno,Padre con figli,2,58
canale di reno,Padre con figli,2,42
villaggio della barca,Padre con figli,2,40
aeroporto,Coniugi con altri membri conviventi,6-10,1
bargellino,Coniugi con altri membri conviventi,6-10,1
borgo centro,Coniugi con altri membri conviventi,6-10,1
casteldebole,Coniugi con altri membri conviventi,6-10,1
ducati-villaggio ina,Coniugi con altri membri conviventi,6-10,1
la birra,Coniugi con altri membri conviventi,6-10,1
lavino di mezzo,Coniugi con altri membri conviventi,6-10,1
lungo reno,Coniugi con altri membri conviventi,6-10,1
rigosa,Coniugi con altri membri conviventi,6-10,1
triumvirato-pietra,Coniugi con altri membri conviventi,6-10,1
via del vivaio,Coniugi con altri membri conviventi,6-10,1
aeroporto,Madre con figli,2,12
bargellino,Madre con figli,2,2
borgo centro,Madre con figli,2,204
